States,Regions,latitude,longitude,Dates,Usage
Chhattisgarh,WR,22.09042035,82.15998734,30/04/2019,74.5
Gujarat,WR,22.2587,71.1924,30/04/2019,324.4
MP,WR,21.30039105,76.13001949,30/04/2019,242.8
Maharashtra,WR,19.25023195,73.16017493,30/04/2019,427.8
Goa,WR,15.491997,73.81800065,30/04/2019,13.1
DNH,WR,20.26657819,73.0166178,30/04/2019,18.9
Andhra Pradesh,SR,14.7504291,78.57002559,30/04/2019,168.2
Telangana,SR,18.1124,79.0193,30/04/2019,222.7
Karnataka,SR,12.57038129,76.91999711,30/04/2019,207.2
Kerala,SR,8.900372741,76.56999263,30/04/2019,72.7
Tamil Nadu,SR,12.92038576,79.15004187,30/04/2019,272.4
Pondy,SR,11.93499371,79.83000037,30/04/2019,6.8
Bihar,ER,25.78541445,87.4799727,30/04/2019,75.2
Jharkhand,ER,23.80039349,86.41998572,30/04/2019,24
Odisha,ER,19.82042971,85.90001746,30/04/2019,65.3
West Bengal,ER,22.58039044,88.32994665,30/04/2019,109.6
Sikkim,ER,27.3333303,88.6166475,30/04/2019,2.2
Arunachal Pradesh,NER,27.10039878,93.61660071,30/04/2019,2.2
Assam,NER,26.7499809,94.21666744,30/04/2019,22.4
Manipur,NER,24.79997072,93.95001705,30/04/2019,2.6
Meghalaya,NER,25.57049217,91.8800142,30/04/2019,6.3
Mizoram,NER,23.71039899,92.72001461,30/04/2019,1.9
Nagaland,NER,25.6669979,94.11657019,30/04/2019,2.3
Tripura,NER,23.83540428,91.27999914,30/04/2019,3.8
Punjab,NR,31.51997398,75.98000281,2/5/2019,120.9
Haryana,NR,28.45000633,77.01999101,2/5/2019,133.6
Rajasthan,NR,26.44999921,74.63998124,2/5/2019,235
Delhi,NR,28.6699929,77.23000403,2/5/2019,82
UP,NR,27.59998069,78.05000565,2/5/2019,304.8
Uttarakhand,NR,30.32040895,78.05000565,2/5/2019,41.4
HP,NR,31.10002545,77.16659704,2/5/2019,30.4
J&K,NR,33.45,76.24,2/5/2019,52.5
Chandigarh,NR,30.71999697,76.78000565,2/5/2019,4.9
Chhattisgarh,WR,22.09042035,82.15998734,2/5/2019,75.3
Gujarat,WR,22.2587,71.1924,2/5/2019,320.9
MP,WR,21.30039105,76.13001949,2/5/2019,245.1
Maharashtra,WR,19.25023195,73.16017493,2/5/2019,428.5
Goa,WR,15.491997,73.81800065,2/5/2019,13.5
DNH,WR,20.26657819,73.0166178,2/5/2019,18.7
Andhra Pradesh,SR,14.7504291,78.57002559,2/5/2019,172.6
Telangana,SR,18.1124,79.0193,2/5/2019,225.7
Karnataka,SR,12.57038129,76.91999711,2/5/2019,211.6
Kerala,SR,8.900372741,76.56999263,2/5/2019,74.4
Tamil Nadu,SR,12.92038576,79.15004187,2/5/2019,271.4
Pondy,SR,11.93499371,79.83000037,2/5/2019,6.8
Bihar,ER,25.78541445,87.4799727,2/5/2019,77.7
Jharkhand,ER,23.80039349,86.41998572,2/5/2019,25.1
Odisha,ER,19.82042971,85.90001746,2/5/2019,66.2
West Bengal,ER,22.58039044,88.32994665,2/5/2019,107
Sikkim,ER,27.3333303,88.6166475,2/5/2019,2.1
Arunachal Pradesh,NER,27.10039878,93.61660071,2/5/2019,2.3
Assam,NER,26.7499809,94.21666744,2/5/2019,22.8
Manipur,NER,24.79997072,93.95001705,2/5/2019,2.7
Meghalaya,NER,25.57049217,91.8800142,2/5/2019,6.2
Mizoram,NER,23.71039899,92.72001461,2/5/2019,1.7
Nagaland,NER,25.6669979,94.11657019,2/5/2019,2.3
Tripura,NER,23.83540428,91.27999914,2/5/2019,3.3
Punjab,NR,31.51997398,75.98000281,3/5/2019,122.1
Haryana,NR,28.45000633,77.01999101,3/5/2019,133
Rajasthan,NR,26.44999921,74.63998124,3/5/2019,234.6
Delhi,NR,28.6699929,77.23000403,3/5/2019,80.4
UP,NR,27.59998069,78.05000565,3/5/2019,297
Uttarakhand,NR,30.32040895,78.05000565,3/5/2019,41.5
HP,NR,31.10002545,77.16659704,3/5/2019,30
J&K,NR,33.45,76.24,3/5/2019,53.4
Chandigarh,NR,30.71999697,76.78000565,3/5/2019,4.7
Chhattisgarh,WR,22.09042035,82.15998734,3/5/2019,75.8
Gujarat,WR,22.2587,71.1924,3/5/2019,317.6
MP,WR,21.30039105,76.13001949,3/5/2019,246.2
Maharashtra,WR,19.25023195,73.16017493,3/5/2019,425.5
Goa,WR,15.491997,73.81800065,3/5/2019,13.4
DNH,WR,20.26657819,73.0166178,3/5/2019,18.7
Andhra Pradesh,SR,14.7504291,78.57002559,3/5/2019,170.1
Telangana,SR,18.1124,79.0193,3/5/2019,208.3
Karnataka,SR,12.57038129,76.91999711,3/5/2019,208.1
Kerala,SR,8.900372741,76.56999263,3/5/2019,73.6
Tamil Nadu,SR,12.92038576,79.15004187,3/5/2019,276.3
Pondy,SR,11.93499371,79.83000037,3/5/2019,6.7
Bihar,ER,25.78541445,87.4799727,3/5/2019,76.1
Jharkhand,ER,23.80039349,86.41998572,3/5/2019,24.5
Odisha,ER,19.82042971,85.90001746,3/5/2019,70.3
West Bengal,ER,22.58039044,88.32994665,3/5/2019,111.1
Sikkim,ER,27.3333303,88.6166475,3/5/2019,2.1
Arunachal Pradesh,NER,27.10039878,93.61660071,3/5/2019,2.2
Assam,NER,26.7499809,94.21666744,3/5/2019,22.4
Manipur,NER,24.79997072,93.95001705,3/5/2019,2.6
Meghalaya,NER,25.57049217,91.8800142,3/5/2019,6.4
Mizoram,NER,23.71039899,92.72001461,3/5/2019,1.7
Nagaland,NER,25.6669979,94.11657019,3/5/2019,2.3
Tripura,NER,23.83540428,91.27999914,3/5/2019,3.5
Punjab,NR,31.51997398,75.98000281,4/5/2019,113.8
Haryana,NR,28.45000633,77.01999101,4/5/2019,124.6
Rajasthan,NR,26.44999921,74.63998124,4/5/2019,231
Delhi,NR,28.6699929,77.23000403,4/5/2019,78
UP,NR,27.59998069,78.05000565,4/5/2019,308
Uttarakhand,NR,30.32040895,78.05000565,4/5/2019,39.1
HP,NR,31.10002545,77.16659704,4/5/2019,27.5
J&K,NR,33.45,76.24,4/5/2019,52.7
Chandigarh,NR,30.71999697,76.78000565,4/5/2019,4.4
Chhattisgarh,WR,22.09042035,82.15998734,4/5/2019,77.2
Gujarat,WR,22.2587,71.1924,4/5/2019,306.7
MP,WR,21.30039105,76.13001949,4/5/2019,246.9
Maharashtra,WR,19.25023195,73.16017493,4/5/2019,415.3
Goa,WR,15.491997,73.81800065,4/5/2019,13.3
DNH,WR,20.26657819,73.0166178,4/5/2019,18.4
Andhra Pradesh,SR,14.7504291,78.57002559,4/5/2019,163
Telangana,SR,18.1124,79.0193,4/5/2019,204.8
Karnataka,SR,12.57038129,76.91999711,4/5/2019,193.3
Kerala,SR,8.900372741,76.56999263,4/5/2019,66.5
Tamil Nadu,SR,12.92038576,79.15004187,4/5/2019,259.2
Pondy,SR,11.93499371,79.83000037,4/5/2019,6.2
Bihar,ER,25.78541445,87.4799727,4/5/2019,80.2
Jharkhand,ER,23.80039349,86.41998572,4/5/2019,25.2
Odisha,ER,19.82042971,85.90001746,4/5/2019,71.6
West Bengal,ER,22.58039044,88.32994665,4/5/2019,100.7
Sikkim,ER,27.3333303,88.6166475,4/5/2019,1.9
Arunachal Pradesh,NER,27.10039878,93.61660071,4/5/2019,2.1
Assam,NER,26.7499809,94.21666744,4/5/2019,21.4
Manipur,NER,24.79997072,93.95001705,4/5/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,4/5/2019,6.2
Mizoram,NER,23.71039899,92.72001461,4/5/2019,1.7
Nagaland,NER,25.6669979,94.11657019,4/5/2019,2.1
Tripura,NER,23.83540428,91.27999914,4/5/2019,3.4
Punjab,NR,31.51997398,75.98000281,5/5/2019,213.9
Haryana,NR,28.45000633,77.01999101,5/5/2019,179.6
Rajasthan,NR,26.44999921,74.63998124,5/5/2019,225.8
Delhi,NR,28.6699929,77.23000403,5/5/2019,98.5
UP,NR,27.59998069,78.05000565,5/5/2019,326.9
Uttarakhand,NR,30.32040895,78.05000565,5/5/2019,38.3
HP,NR,31.10002545,77.16659704,5/5/2019,29.2
J&K,NR,33.45,76.24,5/5/2019,41
Chandigarh,NR,30.71999697,76.78000565,5/5/2019,5
Chhattisgarh,WR,22.09042035,82.15998734,5/5/2019,103.5
Gujarat,WR,22.2587,71.1924,5/5/2019,317.2
MP,WR,21.30039105,76.13001949,5/5/2019,164
Maharashtra,WR,19.25023195,73.16017493,5/5/2019,409.6
Goa,WR,15.491997,73.81800065,5/5/2019,11
DNH,WR,20.26657819,73.0166178,5/5/2019,18.4
Andhra Pradesh,SR,14.7504291,78.57002559,5/5/2019,158.1
Telangana,SR,18.1124,79.0193,5/5/2019,179.5
Karnataka,SR,12.57038129,76.91999711,5/5/2019,177.3
Kerala,SR,8.900372741,76.56999263,5/5/2019,71.4
Tamil Nadu,SR,12.92038576,79.15004187,5/5/2019,280.4
Pondy,SR,11.93499371,79.83000037,5/5/2019,7.6
Bihar,ER,25.78541445,87.4799727,5/5/2019,98.1
Jharkhand,ER,23.80039349,86.41998572,5/5/2019,26.6
Odisha,ER,19.82042971,85.90001746,5/5/2019,89.7
West Bengal,ER,22.58039044,88.32994665,5/5/2019,166.7
Sikkim,ER,27.3333303,88.6166475,5/5/2019,1
Arunachal Pradesh,NER,27.10039878,93.61660071,5/5/2019,2
Assam,NER,26.7499809,94.21666744,5/5/2019,27.2
Manipur,NER,24.79997072,93.95001705,5/5/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,5/5/2019,5.8
Mizoram,NER,23.71039899,92.72001461,5/5/2019,1.6
Nagaland,NER,25.6669979,94.11657019,5/5/2019,2
Tripura,NER,23.83540428,91.27999914,5/5/2019,4.7
Punjab,NR,31.51997398,75.98000281,6/5/2019,220.3
Haryana,NR,28.45000633,77.01999101,6/5/2019,186.1
Rajasthan,NR,26.44999921,74.63998124,6/5/2019,228.5
Delhi,NR,28.6699929,77.23000403,6/5/2019,99.3
UP,NR,27.59998069,78.05000565,6/5/2019,328.4
Uttarakhand,NR,30.32040895,78.05000565,6/5/2019,39.7
HP,NR,31.10002545,77.16659704,6/5/2019,29.8
J&K,NR,33.45,76.24,6/5/2019,39.8
Chandigarh,NR,30.71999697,76.78000565,6/5/2019,5.3
Chhattisgarh,WR,22.09042035,82.15998734,6/5/2019,98.6
Gujarat,WR,22.2587,71.1924,6/5/2019,320.5
MP,WR,21.30039105,76.13001949,6/5/2019,163.5
Maharashtra,WR,19.25023195,73.16017493,6/5/2019,403
Goa,WR,15.491997,73.81800065,6/5/2019,11
DNH,WR,20.26657819,73.0166178,6/5/2019,18.6
Andhra Pradesh,SR,14.7504291,78.57002559,6/5/2019,153.1
Telangana,SR,18.1124,79.0193,6/5/2019,169.4
Karnataka,SR,12.57038129,76.91999711,6/5/2019,158.3
Kerala,SR,8.900372741,76.56999263,6/5/2019,70.2
Tamil Nadu,SR,12.92038576,79.15004187,6/5/2019,282.4
Pondy,SR,11.93499371,79.83000037,6/5/2019,7.5
Bihar,ER,25.78541445,87.4799727,6/5/2019,98.1
Jharkhand,ER,23.80039349,86.41998572,6/5/2019,24.1
Odisha,ER,19.82042971,85.90001746,6/5/2019,95
West Bengal,ER,22.58039044,88.32994665,6/5/2019,153.1
Sikkim,ER,27.3333303,88.6166475,6/5/2019,0.9
Arunachal Pradesh,NER,27.10039878,93.61660071,6/5/2019,2
Assam,NER,26.7499809,94.21666744,6/5/2019,24.7
Manipur,NER,24.79997072,93.95001705,6/5/2019,2.3
Meghalaya,NER,25.57049217,91.8800142,6/5/2019,5.7
Mizoram,NER,23.71039899,92.72001461,6/5/2019,1.6
Nagaland,NER,25.6669979,94.11657019,6/5/2019,2
Tripura,NER,23.83540428,91.27999914,6/5/2019,4.2
Punjab,NR,31.51997398,75.98000281,7/5/2019,222.9
Haryana,NR,28.45000633,77.01999101,7/5/2019,185.6
Rajasthan,NR,26.44999921,74.63998124,7/5/2019,225
Delhi,NR,28.6699929,77.23000403,7/5/2019,102.4
UP,NR,27.59998069,78.05000565,7/5/2019,335.1
Uttarakhand,NR,30.32040895,78.05000565,7/5/2019,40.4
HP,NR,31.10002545,77.16659704,7/5/2019,30.7
J&K,NR,33.45,76.24,7/5/2019,39.8
Chandigarh,NR,30.71999697,76.78000565,7/5/2019,5.3
Chhattisgarh,WR,22.09042035,82.15998734,7/5/2019,86.6
Gujarat,WR,22.2587,71.1924,7/5/2019,312.7
MP,WR,21.30039105,76.13001949,7/5/2019,166.5
Maharashtra,WR,19.25023195,73.16017493,7/5/2019,391.5
Goa,WR,15.491997,73.81800065,7/5/2019,12.2
DNH,WR,20.26657819,73.0166178,7/5/2019,18.5
Andhra Pradesh,SR,14.7504291,78.57002559,7/5/2019,153.9
Telangana,SR,18.1124,79.0193,7/5/2019,153.7
Karnataka,SR,12.57038129,76.91999711,7/5/2019,159.2
Kerala,SR,8.900372741,76.56999263,7/5/2019,68.8
Tamil Nadu,SR,12.92038576,79.15004187,7/5/2019,282.3
Pondy,SR,11.93499371,79.83000037,7/5/2019,7.3
Bihar,ER,25.78541445,87.4799727,7/5/2019,89
Jharkhand,ER,23.80039349,86.41998572,7/5/2019,22.4
Odisha,ER,19.82042971,85.90001746,7/5/2019,89.4
West Bengal,ER,22.58039044,88.32994665,7/5/2019,139.1
Sikkim,ER,27.3333303,88.6166475,7/5/2019,1
Arunachal Pradesh,NER,27.10039878,93.61660071,7/5/2019,2.1
Assam,NER,26.7499809,94.21666744,7/5/2019,25.7
Manipur,NER,24.79997072,93.95001705,7/5/2019,2.3
Meghalaya,NER,25.57049217,91.8800142,7/5/2019,6.1
Mizoram,NER,23.71039899,92.72001461,7/5/2019,1.6
Nagaland,NER,25.6669979,94.11657019,7/5/2019,2
Tripura,NER,23.83540428,91.27999914,7/5/2019,4.3
Punjab,NR,31.51997398,75.98000281,8/5/2019,219.3
Haryana,NR,28.45000633,77.01999101,8/5/2019,184.2
Rajasthan,NR,26.44999921,74.63998124,8/5/2019,226.6
Delhi,NR,28.6699929,77.23000403,8/5/2019,102.6
UP,NR,27.59998069,78.05000565,8/5/2019,301.8
Uttarakhand,NR,30.32040895,78.05000565,8/5/2019,39.9
HP,NR,31.10002545,77.16659704,8/5/2019,29.4
J&K,NR,33.45,76.24,8/5/2019,41.3
Chandigarh,NR,30.71999697,76.78000565,8/5/2019,5.2
Chhattisgarh,WR,22.09042035,82.15998734,8/5/2019,84.2
Gujarat,WR,22.2587,71.1924,8/5/2019,306.6
MP,WR,21.30039105,76.13001949,8/5/2019,162.9
Maharashtra,WR,19.25023195,73.16017493,8/5/2019,385.4
Goa,WR,15.491997,73.81800065,8/5/2019,11.9
DNH,WR,20.26657819,73.0166178,8/5/2019,18.5
Andhra Pradesh,SR,14.7504291,78.57002559,8/5/2019,147.7
Telangana,SR,18.1124,79.0193,8/5/2019,154.1
Karnataka,SR,12.57038129,76.91999711,8/5/2019,154.8
Kerala,SR,8.900372741,76.56999263,8/5/2019,68.1
Tamil Nadu,SR,12.92038576,79.15004187,8/5/2019,280.9
Pondy,SR,11.93499371,79.83000037,8/5/2019,7.4
Bihar,ER,25.78541445,87.4799727,8/5/2019,69.5
Jharkhand,ER,23.80039349,86.41998572,8/5/2019,21.8
Odisha,ER,19.82042971,85.90001746,8/5/2019,87.6
West Bengal,ER,22.58039044,88.32994665,8/5/2019,142.8
Sikkim,ER,27.3333303,88.6166475,8/5/2019,1
Arunachal Pradesh,NER,27.10039878,93.61660071,8/5/2019,1.4
Assam,NER,26.7499809,94.21666744,8/5/2019,28.8
Manipur,NER,24.79997072,93.95001705,8/5/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,8/5/2019,6.4
Mizoram,NER,23.71039899,92.72001461,8/5/2019,1.6
Nagaland,NER,25.6669979,94.11657019,8/5/2019,2.1
Tripura,NER,23.83540428,91.27999914,8/5/2019,4.5
Punjab,NR,31.51997398,75.98000281,9/5/2019,197.7
Haryana,NR,28.45000633,77.01999101,9/5/2019,179.5
Rajasthan,NR,26.44999921,74.63998124,9/5/2019,222
Delhi,NR,28.6699929,77.23000403,9/5/2019,100.9
UP,NR,27.59998069,78.05000565,9/5/2019,276.3
Uttarakhand,NR,30.32040895,78.05000565,9/5/2019,38.8
HP,NR,31.10002545,77.16659704,9/5/2019,28.7
J&K,NR,33.45,76.24,9/5/2019,39.5
Chandigarh,NR,30.71999697,76.78000565,9/5/2019,4.7
Chhattisgarh,WR,22.09042035,82.15998734,9/5/2019,81.3
Gujarat,WR,22.2587,71.1924,9/5/2019,289.4
MP,WR,21.30039105,76.13001949,9/5/2019,162.4
Maharashtra,WR,19.25023195,73.16017493,9/5/2019,379.7
Goa,WR,15.491997,73.81800065,9/5/2019,11.9
DNH,WR,20.26657819,73.0166178,9/5/2019,18.4
Andhra Pradesh,SR,14.7504291,78.57002559,9/5/2019,149.7
Telangana,SR,18.1124,79.0193,9/5/2019,148.7
Karnataka,SR,12.57038129,76.91999711,9/5/2019,164.7
Kerala,SR,8.900372741,76.56999263,9/5/2019,70.2
Tamil Nadu,SR,12.92038576,79.15004187,9/5/2019,293.5
Pondy,SR,11.93499371,79.83000037,9/5/2019,7.7
Bihar,ER,25.78541445,87.4799727,9/5/2019,70.4
Jharkhand,ER,23.80039349,86.41998572,9/5/2019,22.1
Odisha,ER,19.82042971,85.90001746,9/5/2019,84.1
West Bengal,ER,22.58039044,88.32994665,9/5/2019,140.9
Sikkim,ER,27.3333303,88.6166475,9/5/2019,1
Arunachal Pradesh,NER,27.10039878,93.61660071,9/5/2019,1.9
Assam,NER,26.7499809,94.21666744,9/5/2019,29.6
Manipur,NER,24.79997072,93.95001705,9/5/2019,2.3
Meghalaya,NER,25.57049217,91.8800142,9/5/2019,6.1
Mizoram,NER,23.71039899,92.72001461,9/5/2019,1.7
Nagaland,NER,25.6669979,94.11657019,9/5/2019,2.1
Tripura,NER,23.83540428,91.27999914,9/5/2019,4.4
Punjab,NR,31.51997398,75.98000281,10/5/2019,165.1
Haryana,NR,28.45000633,77.01999101,10/5/2019,169.3
Rajasthan,NR,26.44999921,74.63998124,10/5/2019,210.8
Delhi,NR,28.6699929,77.23000403,10/5/2019,94.6
UP,NR,27.59998069,78.05000565,10/5/2019,261.3
Uttarakhand,NR,30.32040895,78.05000565,10/5/2019,36.5
HP,NR,31.10002545,77.16659704,10/5/2019,27.3
J&K,NR,33.45,76.24,10/5/2019,30.1
Chandigarh,NR,30.71999697,76.78000565,10/5/2019,4.3
Chhattisgarh,WR,22.09042035,82.15998734,10/5/2019,80.8
Gujarat,WR,22.2587,71.1924,10/5/2019,279.2
MP,WR,21.30039105,76.13001949,10/5/2019,152.4
Maharashtra,WR,19.25023195,73.16017493,10/5/2019,385.6
Goa,WR,15.491997,73.81800065,10/5/2019,11.9
DNH,WR,20.26657819,73.0166178,10/5/2019,18.4
Andhra Pradesh,SR,14.7504291,78.57002559,10/5/2019,154.2
Telangana,SR,18.1124,79.0193,10/5/2019,160.2
Karnataka,SR,12.57038129,76.91999711,10/5/2019,163
Kerala,SR,8.900372741,76.56999263,10/5/2019,71.3
Tamil Nadu,SR,12.92038576,79.15004187,10/5/2019,291.6
Pondy,SR,11.93499371,79.83000037,10/5/2019,7.8
Bihar,ER,25.78541445,87.4799727,10/5/2019,53
Jharkhand,ER,23.80039349,86.41998572,10/5/2019,20.1
Odisha,ER,19.82042971,85.90001746,10/5/2019,83.2
West Bengal,ER,22.58039044,88.32994665,10/5/2019,133.4
Sikkim,ER,27.3333303,88.6166475,10/5/2019,1.2
Arunachal Pradesh,NER,27.10039878,93.61660071,10/5/2019,2.3
Assam,NER,26.7499809,94.21666744,10/5/2019,29.4
Manipur,NER,24.79997072,93.95001705,10/5/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,10/5/2019,6.1
Mizoram,NER,23.71039899,92.72001461,10/5/2019,1.4
Nagaland,NER,25.6669979,94.11657019,10/5/2019,2.2
Tripura,NER,23.83540428,91.27999914,10/5/2019,4.7
Punjab,NR,31.51997398,75.98000281,11/5/2019,122.6
Haryana,NR,28.45000633,77.01999101,11/5/2019,143
Rajasthan,NR,26.44999921,74.63998124,11/5/2019,197.9
Delhi,NR,28.6699929,77.23000403,11/5/2019,84.7
UP,NR,27.59998069,78.05000565,11/5/2019,244.4
Uttarakhand,NR,30.32040895,78.05000565,11/5/2019,33
HP,NR,31.10002545,77.16659704,11/5/2019,24.5
J&K,NR,33.45,76.24,11/5/2019,34.5
Chandigarh,NR,30.71999697,76.78000565,11/5/2019,3.4
Chhattisgarh,WR,22.09042035,82.15998734,11/5/2019,76.2
Gujarat,WR,22.2587,71.1924,11/5/2019,257.9
MP,WR,21.30039105,76.13001949,11/5/2019,154.1
Maharashtra,WR,19.25023195,73.16017493,11/5/2019,380.7
Goa,WR,15.491997,73.81800065,11/5/2019,11.3
DNH,WR,20.26657819,73.0166178,11/5/2019,18.1
Andhra Pradesh,SR,14.7504291,78.57002559,11/5/2019,160
Telangana,SR,18.1124,79.0193,11/5/2019,166.3
Karnataka,SR,12.57038129,76.91999711,11/5/2019,156
Kerala,SR,8.900372741,76.56999263,11/5/2019,65.1
Tamil Nadu,SR,12.92038576,79.15004187,11/5/2019,274.7
Pondy,SR,11.93499371,79.83000037,11/5/2019,7.3
Bihar,ER,25.78541445,87.4799727,11/5/2019,43.5
Jharkhand,ER,23.80039349,86.41998572,11/5/2019,19
Odisha,ER,19.82042971,85.90001746,11/5/2019,78.9
West Bengal,ER,22.58039044,88.32994665,11/5/2019,122.6
Sikkim,ER,27.3333303,88.6166475,11/5/2019,1.2
Arunachal Pradesh,NER,27.10039878,93.61660071,11/5/2019,2.2
Assam,NER,26.7499809,94.21666744,11/5/2019,26.5
Manipur,NER,24.79997072,93.95001705,11/5/2019,2.2
Meghalaya,NER,25.57049217,91.8800142,11/5/2019,6.1
Mizoram,NER,23.71039899,92.72001461,11/5/2019,1.6
Nagaland,NER,25.6669979,94.11657019,11/5/2019,2.4
Tripura,NER,23.83540428,91.27999914,11/5/2019,4.1
Punjab,NR,31.51997398,75.98000281,12/5/2019,245.9
Haryana,NR,28.45000633,77.01999101,12/5/2019,194.3
Rajasthan,NR,26.44999921,74.63998124,12/5/2019,242.2
Delhi,NR,28.6699929,77.23000403,12/5/2019,116.6
UP,NR,27.59998069,78.05000565,12/5/2019,422.1
Uttarakhand,NR,30.32040895,78.05000565,12/5/2019,42.9
HP,NR,31.10002545,77.16659704,12/5/2019,30.7
J&K,NR,33.45,76.24,12/5/2019,42.4
Chandigarh,NR,30.71999697,76.78000565,12/5/2019,6.3
Chhattisgarh,WR,22.09042035,82.15998734,12/5/2019,110.2
Gujarat,WR,22.2587,71.1924,12/5/2019,342.2
MP,WR,21.30039105,76.13001949,12/5/2019,219
Maharashtra,WR,19.25023195,73.16017493,12/5/2019,441.2
Goa,WR,15.491997,73.81800065,12/5/2019,11.4
DNH,WR,20.26657819,73.0166178,12/5/2019,18.9
Andhra Pradesh,SR,14.7504291,78.57002559,12/5/2019,165.3
Telangana,SR,18.1124,79.0193,12/5/2019,184.1
Karnataka,SR,12.57038129,76.91999711,12/5/2019,171.9
Kerala,SR,8.900372741,76.56999263,12/5/2019,60
Tamil Nadu,SR,12.92038576,79.15004187,12/5/2019,297.9
Pondy,SR,11.93499371,79.83000037,12/5/2019,7.7
Bihar,ER,25.78541445,87.4799727,12/5/2019,104.2
Jharkhand,ER,23.80039349,86.41998572,12/5/2019,27.1
Odisha,ER,19.82042971,85.90001746,12/5/2019,98.7
West Bengal,ER,22.58039044,88.32994665,12/5/2019,194.3
Sikkim,ER,27.3333303,88.6166475,12/5/2019,1.3
Arunachal Pradesh,NER,27.10039878,93.61660071,12/5/2019,2.2
Assam,NER,26.7499809,94.21666744,12/5/2019,29.5
Manipur,NER,24.79997072,93.95001705,12/5/2019,2.6
Meghalaya,NER,25.57049217,91.8800142,12/5/2019,5.8
Mizoram,NER,23.71039899,92.72001461,12/5/2019,1.9
Nagaland,NER,25.6669979,94.11657019,12/5/2019,2.2
Tripura,NER,23.83540428,91.27999914,12/5/2019,5.6
Punjab,NR,31.51997398,75.98000281,13/05/2019,253.7
Haryana,NR,28.45000633,77.01999101,13/05/2019,211.3
Rajasthan,NR,26.44999921,74.63998124,13/05/2019,251.4
Delhi,NR,28.6699929,77.23000403,13/05/2019,129
UP,NR,27.59998069,78.05000565,13/05/2019,428.8
Uttarakhand,NR,30.32040895,78.05000565,13/05/2019,43.3
HP,NR,31.10002545,77.16659704,13/05/2019,30.4
J&K,NR,33.45,76.24,13/05/2019,42.8
Chandigarh,NR,30.71999697,76.78000565,13/05/2019,6.8
Chhattisgarh,WR,22.09042035,82.15998734,13/05/2019,111.6
Gujarat,WR,22.2587,71.1924,13/05/2019,355.4
MP,WR,21.30039105,76.13001949,13/05/2019,229.2
Maharashtra,WR,19.25023195,73.16017493,13/05/2019,451.4
Goa,WR,15.491997,73.81800065,13/05/2019,11
DNH,WR,20.26657819,73.0166178,13/05/2019,19.2
Andhra Pradesh,SR,14.7504291,78.57002559,13/05/2019,168.2
Telangana,SR,18.1124,79.0193,13/05/2019,191.1
Karnataka,SR,12.57038129,76.91999711,13/05/2019,164.5
Kerala,SR,8.900372741,76.56999263,13/05/2019,60.7
Tamil Nadu,SR,12.92038576,79.15004187,13/05/2019,299
Pondy,SR,11.93499371,79.83000037,13/05/2019,7.8
Bihar,ER,25.78541445,87.4799727,13/05/2019,97.4
Jharkhand,ER,23.80039349,86.41998572,13/05/2019,24.8
Odisha,ER,19.82042971,85.90001746,13/05/2019,102.5
West Bengal,ER,22.58039044,88.32994665,13/05/2019,192.2
Sikkim,ER,27.3333303,88.6166475,13/05/2019,1.2
Arunachal Pradesh,NER,27.10039878,93.61660071,13/05/2019,2.3
Assam,NER,26.7499809,94.21666744,13/05/2019,27.8
Manipur,NER,24.79997072,93.95001705,13/05/2019,2.5
Meghalaya,NER,25.57049217,91.8800142,13/05/2019,5.4
Mizoram,NER,23.71039899,92.72001461,13/05/2019,1.9
Nagaland,NER,25.6669979,94.11657019,13/05/2019,2
Tripura,NER,23.83540428,91.27999914,13/05/2019,4.8
Punjab,NR,31.51997398,75.98000281,14/05/2019,264.8
Haryana,NR,28.45000633,77.01999101,14/05/2019,208.1
Rajasthan,NR,26.44999921,74.63998124,14/05/2019,256.8
Delhi,NR,28.6699929,77.23000403,14/05/2019,130.4
UP,NR,27.59998069,78.05000565,14/05/2019,406.8
Uttarakhand,NR,30.32040895,78.05000565,14/05/2019,45.4
HP,NR,31.10002545,77.16659704,14/05/2019,32
J&K,NR,33.45,76.24,14/05/2019,42.9
Chandigarh,NR,30.71999697,76.78000565,14/05/2019,6.4
Chhattisgarh,WR,22.09042035,82.15998734,14/05/2019,106.5
Gujarat,WR,22.2587,71.1924,14/05/2019,354.3
MP,WR,21.30039105,76.13001949,14/05/2019,220.4
Maharashtra,WR,19.25023195,73.16017493,14/05/2019,446
Goa,WR,15.491997,73.81800065,14/05/2019,11.3
DNH,WR,20.26657819,73.0166178,14/05/2019,19.1
Andhra Pradesh,SR,14.7504291,78.57002559,14/05/2019,175.2
Telangana,SR,18.1124,79.0193,14/05/2019,198.7
Karnataka,SR,12.57038129,76.91999711,14/05/2019,172.9
Kerala,SR,8.900372741,76.56999263,14/05/2019,62.7
Tamil Nadu,SR,12.92038576,79.15004187,14/05/2019,312.3
Pondy,SR,11.93499371,79.83000037,14/05/2019,8.5
Bihar,ER,25.78541445,87.4799727,14/05/2019,88.2
Jharkhand,ER,23.80039349,86.41998572,14/05/2019,22.5
Odisha,ER,19.82042971,85.90001746,14/05/2019,97.4
West Bengal,ER,22.58039044,88.32994665,14/05/2019,180.5
